fpath,CameraNumber
19097_BranchBrook_041918_051718,1
19097_BranchBrook_051718_070318,1
19097_BranchBrook_070318_080118,1
19097_BranchBrook_080118_082918,1
19097_BranchBrook_082918_110818,1
15801_MountHopeRiver_032218_052318,6
15801_MountHopeRiver_052318_062118,6
19022_ComstockBrook_041918_050318,7
20050_NonewaugRiver_051718_060818,8
20050_NonewaugRiver_060818_071818,8
20050_NonewaugRiver_071818_081518,8
20050_NonewaugRiver_081518_091218,8
20050_NonewaugRiver_091218_102418,8
19657_BunnellBrook_122817_010918,9
19657_BunnellBrook_040218_051718,10
19657_BunnellBrook_051718_052618,10
19013_NNTtoHawleysBrook_041918_060818,11
19013_NNTtoHawleysBrook_060818_071818,11
19013_NNTtoHawleysBrook_071818_081518,11
19013_NNTtoHawleysBrook_081518_091218,11
19013_NNTtoHawleysBrook_091218_102418,11
19013_NNTtoHawleysBrook_102418_120418,11
18536_NNTtoHawleysBrook_041918_060818,12
18536_NNTtoHawleysBrook_060818_071818,12
18536_NNTtoHawleysBrook_071818_081518,12
18536_NNTtoHawleysBrook_081518_091218,12
18536_NNTtoHawleysBrook_091218_102418,12
18536_NNTtoHawleysBrook_102418_120418,12
19141_MillRiver_060118_071818,13
19141_MillRiver_071818_081518,13
19141_MillRiver_081518_091218,13
19141_MillRiver_091218_120418,13
20050_NonewaugRiver_041918_042018,13
16274_NonewaugRiver_041918_050718,14
19707_OgdenBrook_040918_052318,15
19707_OgdenBrook_052318_071118,15
19707_OgdenBrook_071118_080818,15
19707_OgdenBrook_080818_090518,15
19707_OgdenBrook_090518_101718,15
19707_OgdenBrook_101718_111918,15
16322_OgdenBrook_040918_052318,16
16322_OgdenBrook_052318_071118,16
16322_OgdenBrook_071118_080818,16
16322_OgdenBrook_080818_090518,16
16322_OgdenBrook_090518_101718,16
16322_OgdenBrook_101718_111918,16
16139_BrownBrook_040218_051018,17
16139_BrownBrook_051018_062018,17
16139_BrownBrook_062018_072418,17
16139_BrownBrook_072418_082118,17
16139_BrownBrook_082118_091918,17
16139_BrownBrook_091918_103118,17
16139_BrownBrook_103118_010919,17
16139_BrownBrook_122817_040218,17
14434_SalmonCreek_040218_040618,18
14434_SalmonCreek_051018_051618,18
14434_SalmonCreek_122817_010918,18
17534_BrideBrook_040918_052318,19
17534_BrideBrook_052318_052618,19
15499_WestBranchSalmonBrook_122817_040118,20
18720_EastBranchEightmileRiver_040918_052318,20
18720_EastBranchEightmileRiver_052318_071118,20
18720_EastBranchEightmileRiver_071118_080818,20
18720_EastBranchEightmileRiver_080818_090518,20
