fpath,sid,name,sdate,edate,MultiSite
19657_BunnellBrook_040218_051718,19657,BunnellBrook,40218,51718,FALSE
15801_MountHopeRiver_032218_052318,15801,MountHopeRiver,32218,52318,FALSE
14523_BurtonBrook_062018_072418,14523,BurtonBrook,62018,72418,FALSE
16322_OgdenBrook_040918_052318,16322,OgdenBrook,40918,52318,FALSE
15801_MountHopeRiver_052318_062118,15801,MountHopeRiver,52318,62118,FALSE
18720_EastBranchEightmileRiver_040918_052318,18720,EastBranchEightmileRiver,40918,52318,FALSE
19097_BranchBrook_041918_051718,19097,BranchBrook,41918,51718,FALSE
15796_PendletonHillBrook_032218_052318,15796,PendletonHillBrook,32218,52318,FALSE
15244_CobbleBrook_062018_072418,15244,CobbleBrook,62018,72418,FALSE
19022_ComstockBrook_041918_050318,19022,ComstockBrook,41918,50318,FALSE
16322_OgdenBrook_052318_071118,16322,OgdenBrook,52318,71118,FALSE
19013_NNTtoHawleysBrook_041918_060818,19013,NNTtoHawleysBrook,41918,60818,FALSE
15240_HubbardRiver_122717_122717,15240,HubbardRiver,122717,122717,FALSE
15796_PendletonHillBrook_010318_022518,15796,PendletonHillBrook,10318,22518,FALSE
19097_BranchBrook_051718_070318,19097,BranchBrook,51718,70318,FALSE
16139_BrownBrook_122817_040218,16139,BrownBrook,122817,40218,FALSE
17534_BrideBrook_052318_052618,17534,BrideBrook,52318,52618,FALSE
15240_HubbardRiver_040218_040218,15240,HubbardRiver,40218,40218,FALSE
20050_NonewaugRiver_051718_060818,20050,NonewaugRiver,51718,60818,FALSE
14434_SalmonCreek_122817_010918,14434,SalmonCreek,122817,10918,FALSE
14434_SalmonCreek_040218_040618,14434,SalmonCreek,40218,40618,FALSE
14434_SalmonCreek_051018_051618,14434,SalmonCreek,51018,51618,FALSE
14523_BurtonBrook_051018_062018,14523,BurtonBrook,51018,62018,FALSE
15100_SpruceSwampCreek_051018_062018,15100,SpruceSwampCreek,51018,62018,FALSE
15240_HubbardRiver_051718_070318,15240,HubbardRiver,51718,70318,FALSE
15244_CobbleBrook_051018_062018,15244,CobbleBrook,51018,62018,FALSE
15499_WestBranchSalmonBrook_122817_040118,15499,WestBranchSalmonBrook,122817,40118,FALSE
15499_WestBranchSalmonBrook_050818_051418,15499,WestBranchSalmonBrook,50818,51418,FALSE
15796_PendletonHillBrook_052318_071118,15796,PendletonHillBrook,52318,71118,FALSE
16139_BrownBrook_040218_051018,16139,BrownBrook,40218,51018,FALSE
16139_BrownBrook_051018_062018,16139,BrownBrook,51018,62018,FALSE
16274_NonewaugRiver_041918_050718,16274,NonewaugRiver,41918,50718,FALSE
16274_NonewaugRiver_051718_060818,16274,NonewaugRiver,51718,60818,FALSE
17534_BrideBrook_040918_052318,17534,BrideBrook,40918,52318,FALSE
18536_NNTtoHawleysBrook_041918_060818,18536,NNTtoHawleysBrook,41918,60818,FALSE
18720_EastBranchEightmileRiver_052318_071118,18720,EastBranchEightmileRiver,52318,71118,FALSE
19657_BunnellBrook_122817_010918,19657,BunnellBrook,122817,10918,FALSE
19657_BunnellBrook_051718_052618,19657,BunnellBrook,51718,52618,FALSE
16274_NonewaugRiver_060818_071818,16274,NonewaugRiver,60818,71818,FALSE
19022_ComstockBrook_060818_062618,19022,ComstockBrook,60818,62618,FALSE
20050_NonewaugRiver_060818_071818,20050,NonewaugRiver,60818,71818,FALSE
19141_MillRiver_060118_071818,19141,MillRiver,60118,71818,FALSE
18536_NNTtoHawleysBrook_060818_071818,18536,NNTtoHawleysBrook,60818,71818,FALSE
19013_NNTtoHawleysBrook_060818_071818,19013,NNTtoHawleysBrook,60818,71818,FALSE
19707_OgdenBrook_040918_052318,19707,OgdenBrook,40918,52318,FALSE
19711_PolandRiver_051718_052218,19711,PolandRiver,51718,52218,FALSE
19707_OgdenBrook_052318_071118,19707,OgdenBrook,52318,71118,FALSE
20050_NonewaugRiver_041918_042018,20050,NonewaugRiver,41918,42018,FALSE
15100_SpruceSwampCreek_062018_072418,15100,SpruceSwampCreek,62018,72418,FALSE
16139_BrownBrook_062018_072418,16139,BrownBrook,62018,72418,FALSE
19657_BunnellBrook_062018_072418,19657,BunnellBrook,62018,72418,FALSE
15240_HubbardRiver_070318_080118,15240,HubbardRiver,70318,80118,FALSE
19711_PolandRiver_070318_073118,19711,PolandRiver,70318,73118,FALSE
19097_BranchBrook_070318_080118,19097,BranchBrook,70318,80118,FALSE
15499_WestBranchSalmonBrook_070318_080118,15499,WestBranchSalmonBrook,70318,80118,FALSE
16046_ChidseyBrook_062918_080118,16046,ChidseyBrook,62918,80118,FALSE
18720_EastBranchEightmileRiver_071118_080818,18720,EastBranchEightmileRiver,71118,80818,FALSE
15796_PendletonHillBrook_071118_080818,15796,PendletonHillBrook,71118,80818,FALSE
15801_MountHopeRiver_071118_080818,15801,MountHopeRiver,71118,80818,FALSE
19707_OgdenBrook_071118_080818,19707,OgdenBrook,71118,80818,FALSE
16322_OgdenBrook_071118_080818,16322,OgdenBrook,71118,80818,FALSE
16274_NonewaugRiver_071818_081518,16274,NonewaugRiver,71818,81518,FALSE
20050_NonewaugRiver_071818_081518,20050,NonewaugRiver,71818,81518,FALSE
19022_ComstockBrook_071818_081518,19022,ComstockBrook,71818,81518,FALSE
18536_NNTtoHawleysBrook_071818_081518,18536,NNTtoHawleysBrook,71818,81518,FALSE
19013_NNTtoHawleysBrook_071818_081518,19013,NNTtoHawleysBrook,71818,81518,FALSE
19141_MillRiver_071818_081518,19141,MillRiver,71818,81518,FALSE
15244_CobbleBrook_072418_082118,15244,CobbleBrook,72418,82118,FALSE
